Filename,Sample Rate,Duration (s),Channels
01517-indian-music-vintagesense-1943-taansen-05-baag-lagaa-dun-sajni-sahgal-p-indra-khemchand-prakash-vintagesense-song-id-01517.mp3,11025,175.543,2
05877-indian-music-vintagesense-1954-chakradhari1954-3-03merisoyi-aajgorahuya-hemantkumar-vintagesense-song-id-05877.mp3,8000,214.992,2
05893-indian-music-vintagesense-1954-chakradhari-04-meri-choli-ko-seena-sambhal-ke-asha-pradeep-avinaas-vyas-vintagesense-song-id-05893.mp3,11025,135.105,2
18147-indian-music-vintagesense-shree-ganesh-06-1962-suman-kalyanpur-chorus-kabhi-tum-paas-aatay-ho-bulo-c-rani-vintagesense-song-id-18147.mp3,11025,420.519,2
01543-indian-music-vintagesense-1943sanjog-02-omoresanwaresainya-vintagesense-song-id-01543.mp3,11025,173.349,2
17964-indian-music-vintagesense-rr43-02-aavo-rii-vintagesense-song-id-17964.mp3,8000,182.016,2
17923-indian-music-vintagesense-rare-moods-56-05-jo-chaahte-ho-so-kehte-ho-mehdi-hassan-vintagesense-song-id-17923.mp3,11025,154.488,2
12599-indian-music-vintagesense-1967-majhlididi1967-hemantkumar-1967majhlididi196713umariyabinkhewakkinaiyya-vintagesense-song-id-12599.mp3,11025,202.292,2
01549-indian-music-vintagesense-1943sanjog-08-ekdilwalaekdilwali-vintagesense-song-id-01549.mp3,11025,201.77,2
18108-indian-music-vintagesense-shama46-uljhandilkikyasuljhe-vintagesense-song-id-18108.mp3,11025,184.686,2
05828-indian-music-vintagesense-1954-bazooband-1954-326-03-arzoo-yeh-hai-ke-lata-vintagesense-song-id-05828.mp3,11025,207.569,2
11210-indian-music-vintagesense-1964-aaya-toofan-1964-rafi-1964-aaya-toofan-1964-zindagi-mein-aaya-toofaan-vintagesense-song-id-11210.mp3,11025,201.509,2
12524-indian-music-vintagesense-1967-chhotisimulaqat1967-rafi-1967chhotisimulaqat1967aaichandkizebai-vintagesense-song-id-12524.mp3,11025,275.487,2
18143-indian-music-vintagesense-shree-ganesh-02-1962-suman-kalyanpur-chorus-ho-ho-ho-matwaala-saawan-aaya-bulo-c-rani-vintagesense-song-id-18143.mp3,11025,236.513,2
17816-indian-music-vintagesense-pyar-ki-dastan-51-1961-nashad-musical-interludes-nashad-vintagesense-song-id-17816.mp3,11025,158.563,2
17660-indian-music-vintagesense-pittsburgh-saugandh-1942-shanti-wobhoolehumko-rcb-vintagesense-song-id-17660.mp3,11025,200.673,2
01584-indian-music-vintagesense-1944-bhanwara-08-hum-apna-unhen-bana-na-sahgal-kedar-sharma-khemchand-prakash-vintagesense-song-id-01584.mp3,11025,221.309,2
06176-indian-music-vintagesense-1954-laal-pari-08-meri-tabahi-pe-agar-ye-sachh-hai-tu-bakason-ka-asha-asad-bhopali-hansraj-bahal-vintagesense-song-id-06176.mp3,11025,210.024,2
18120-indian-music-vintagesense-sharada-1942-nirmala-tumnehiaate-naushad-1-0001-b-vintagesense-song-id-18120.mp3,11025,206.211,2
05817-indian-music-vintagesense-1954-baraati-1954-224-02-haaye-koyi-keh-de-lata-vintagesense-song-id-05817.mp3,11025,190.903,2
17686-indian-music-vintagesense-portland2005-08-vintagesense-song-id-17686.mp3,8000,95.832,2
17821-indian-music-vintagesense-pyar-kiya-to-darna-kya-02-1963-rafi-asha-dil-tum-ko-de-diya-jaan-e-jigar-ravi-vintagesense-song-id-17821.mp3,11025,203.18,2
01541-indian-music-vintagesense-1943sanjog-00-titlemusic-vintagesense-song-id-01541.mp3,11025,198.844,2
11217-indian-music-vintagesense-1964-apne-huye-paraye-1964-719-07-mein-ne-bulaya-aur-tum-aaye-lata-vintagesense-song-id-11217.mp3,11025,331.337,2
12585-indian-music-vintagesense-1967-jewelthief1967-latarafi-1967jewelthief1967dilpukaraaareaare-vintagesense-song-id-12585.mp3,11025,327.158,2
